loss_function, loss_value, categorical_accuracy, top_k_categorical_accuracy
mean_squared_error, 0.0030992118877, 0.985, 1.0
mean_absolute_error, 0.100000008881, 0.052, 0.241
mean_absolute_percentage_error, 11.4486808777, 0.144, 0.609
mean_squared_logarithmic_error, 0.0015985592377, 0.9835, 0.9995
squared_hinge, 0.900000035286, 0.1165, 0.8285
hinge, 0.900000035286, 0.2725, 0.9985
categorical_hinge, 0.0639499614537, 0.9805, 0.9995
logcosh, 0.00164040020165, 0.9825, 0.9995
categorical_crossentropy, 0.0495690255668, 0.983, 1.0
binary_crossentropy, 0.0119935103482, 0.987, 1.0
kullback_leibler_divergence, -1.45055706162e-05, 0.123, 0.9965
poisson, 0.106263415098, 0.982, 1.0
cosine_proximity, -0.984729186058, 0.9865, 1.0
